days_tweet,categ,values_baseline,values_neda
-14,feel,0.0787491792835039,0.0703602422578219
-14,bio,0.40393963924500476,0.4479684325708701
-14,body,0.11999830142128952,0.09791499144771407
-14,health,0.11842639246324188,0.1740902641034927
-14,sexual,0.048096083356092896,0.043324539829988025
-14,ingest,0.09329000847537895,0.11637546663245865
-14,drives,1.2391300702534338,1.059491166609088
-14,affiliation,0.38245503523107816,0.4193969749119952
-14,achiev,0.27155589233793864,0.20848761673120705
-14,power,0.4513927820856016,0.3324186136098849
-14,reward,0.2650049855813191,0.18560488514333548
-14,risk,0.08266802768462506,0.05932742954136218
-14,focuspast,0.4083195021041754,0.2980893252465353
-14,focuspresent,1.3796119202585073,1.1692006488751656
-14,focusfuture,0.1757233069142892,0.13093365279732186
-14,relativ,1.8837790612026122,1.5520187083289712
-14,motion,0.27167286231910104,0.19058488901366977
