cnt	mydate	covid
7128	2020-10-11	1
6272	2020-10-12	1
5851	2020-10-13	1
5476	2020-10-14	1
5709	2020-10-15	1
9945	2020-10-16	1
6609	2020-10-17	1
7323	2020-10-18	1
6502	2020-10-19	1
5974	2020-10-20	1
5882	2020-10-21	1
5327	2020-10-22	1
5636	2020-10-23	1
6009	2020-10-24	1
6826	2020-10-25	1
6271	2020-10-26	1
6220	2020-10-27	1
5445	2020-10-28	1
5957	2020-10-29	1
6159	2020-10-30	1
6051	2020-10-31	1
6468	2020-11-01	1
6239	2020-11-02	1
5785	2020-11-03	1
4985	2020-11-04	1
5719	2020-11-05	1
5973	2020-11-06	1
6044	2020-11-07	1
6593	2020-11-08	1
6529	2020-11-09	1
6532	2020-11-10	1
6473	2020-11-11	1
6551	2020-11-12	1
6168	2020-11-13	1
6276	2020-11-14	1
6662	2020-11-15	1
6683	2020-11-16	1
6555	2020-11-17	1
6635	2020-11-18	1
6233	2020-11-19	1
6197	2020-11-20	1
6287	2020-11-21	1
6586	2020-11-22	1
6902	2020-11-23	1
6244	2020-11-24	1
6077	2020-11-25	1
6668	2020-11-26	1
6597	2020-11-27	1
6266	2020-11-28	1
6337	2020-11-29	1
6466	2020-11-30	1
6228	2020-12-01	1
6401	2020-12-02	1
6137	2020-12-03	1
6020	2020-12-04	1
6019	2020-12-05	1
6080	2020-12-06	1
6328	2020-12-07	1
6160	2020-12-08	1
6319	2020-12-09	1
6130	2020-12-10	1
5077	2020-12-11	1
5577	2020-12-12	1
5858	2020-12-13	1
6027	2020-12-14	1
6567	2020-12-15	1
6295	2020-12-16	1
5938	2020-12-17	1
5736	2020-12-18	1
6282	2020-12-19	1
6335	2020-12-20	1
5853	2020-12-21	1
6143	2020-12-22	1
6202	2020-12-23	1
7136	2020-12-24	1
7549	2020-12-25	1
6515	2020-12-26	1
6203	2020-12-27	1
6427	2020-12-28	1
6314	2020-12-29	1
6113	2020-12-30	1
7186	2020-12-31	1
7309	2021-01-01	1
5738	2021-01-02	1
6086	2021-01-03	1
6152	2021-01-04	1
6017	2021-01-05	1
5746	2021-01-06	1
4659	2021-01-07	1
5467	2021-01-08	1
5592	2021-01-09	1
5712	2021-01-10	1
5840	2021-01-11	1
5834	2021-01-12	1
5845	2021-01-13	1
5596	2021-01-14	1
5524	2021-01-15	1
5465	2021-01-16	1
5876	2021-01-17	1
5655	2021-01-18	1
5919	2021-01-19	1
5555	2021-01-20	1
5419	2021-01-21	1
5805	2021-01-22	1
5482	2021-01-23	1
5672	2021-01-24	1
5571	2021-01-25	1
5654	2021-01-26	1
5444	2021-01-27	1
5308	2021-01-28	1
5958	2021-01-29	1
5649	2021-01-30	1
6035	2021-01-31	1
5863	2021-02-01	1
5646	2021-02-02	1
5445	2021-02-03	1
5709	2021-02-04	1
5365	2021-02-05	1
5493	2021-02-06	1
5721	2021-02-07	1
5848	2021-02-08	1
5805	2021-02-09	1
5792	2021-02-10	1
5821	2021-02-11	1
6271	2021-02-12	1
7592	2021-02-13	1
14400	2021-02-14	1
8160	2021-02-15	1
5784	2021-02-16	1
5056	2021-02-17	1
5008	2021-02-18	1
5200	2021-02-19	1
5241	2021-02-20	1
5244	2021-02-21	1
5189	2021-02-22	1
5246	2021-02-23	1
5049	2021-02-24	1
4963	2021-02-25	1
4905	2021-02-26	1
4894	2021-02-27	1
5239	2021-02-28	1
4968	2021-03-01	1
4870	2021-03-02	1
4780	2021-03-03	1
4842	2021-03-04	1
5220	2021-03-05	1
4975	2021-03-06	1
4966	2021-03-07	1
4668	2021-03-08	1
4803	2021-03-09	1
4856	2021-03-10	1
4907	2021-03-11	1
4685	2021-03-12	1
4875	2021-03-13	1
4727	2021-03-14	1
