id code city lat lon
761 JBR Jonesboro 35.83 -90.648333
769 JHW Jamestown 42.150556 -79.258056
771 JLN Joplin 37.149722 -94.497778
773 JMS Jamestown 46.93 -98.678333
780 JST Johnstown 40.316667 -78.834444
870 LAF Lafayette 40.411944 -86.933611
872 LAN Lansing 42.779167 -84.588333
874 LAR Laramie 41.313611 -105.673056
875 LAS Las_Vegas_LAS_VGT 36.08 -115.152222
876 LAW Lawton 34.569722 -98.416111
877 LAX Los_Angeles_LAX_ONT_SNA_BUR_LGB 34.066389 -118.124444
879 LBB Lubbock 33.662222 -101.822778
880 LBE Latrobe 40.276389 -79.402778
881 LBF North_Platte 41.128333 -100.696667
883 LBL Liberal 37.044444 -100.960556
888 LCH Lake_Charles 30.131111 -93.225556
894 LEB Lebanon 43.628056 -72.305833
899 LEX Lexington 38.036944 -84.605278
901 LFT Lafayette 30.204722 -91.9875
918 LIT Little_Rock 34.729167 -92.234444
925 LMT Klamath_Falls 42.163056 -121.735833
926 LNK Lincoln 40.850833 -96.758889
927 LNS Lancaster 40.121111 -76.299722
935 LPS Lopez_Island 48.482778 -122.935556
936 LRD Laredo 27.544722 -99.461111
940 LSE La_Crosse_Wi_Winona 43.877222 -91.256389
953 LWB Greenbrier 37.859722 -80.398611
956 LWS Lewiston 46.374722 -117.014444
957 LWT Lewistown 47.051111 -109.471111
959 LYH Lynchburg 37.326944 -79.201111
964 MAF Midland_Odessa 31.940833 -102.201389
971 MBL Manistee 44.273889 -86.253333
972 MBS Saginaw 43.531667 -84.081667
975 MCE Merced 37.284722 -120.512778
978 MCI Kansas_City 39.2975 -94.713889
979 MCK Mc_Cook 40.206111 -100.59
981 MCN Macon 32.695833 -83.649167
982 MCO Orlando 28.431667 -81.324722
983 MCW Mason_City 43.156944 -93.329444
988 MDT Harrisburg 40.193056 -76.762222
992 MEI Meridian 32.337222 -88.749167
994 MEM Memphis 35.049722 -89.978611
998 MFE Mc_Allen 26.176944 -98.239722
1000 MFR Medford 42.373611 -122.872222
1004 MGM Montgomery 32.3 -86.391111
1006 MGW Morgantown 39.642778 -79.915833
1008 MHK Manhattan 39.142222 -96.668889
1011 MHT Manchester 42.938333 -71.438889
1016 MIA Miami_(IntL) 25.7925 -80.286111
1022 MKE Milwaukee 42.950278 -87.897222
1023 MKG Muskegon 43.170556 -86.2375
1025 MKL Jackson 35.601389 -88.915278
1027 MLB Melbourne 28.1025 -80.643056
1029 MLI Moline 41.448889 -90.505
1032 MLS Miles_City 46.430556 -105.880556
1033 MLU Monroe 32.511111 -92.038889
1043 MOB Mobile_Al_Pascagoula 30.688333 -88.240833
1044 MOD Modesto 37.626944 -120.955278
1047 MOT Minot 48.259444 -101.280833
1053 MQT Marquette 46.534167 -87.561667
1061 MRY Monterey 36.588056 -121.848056
1065 MSL Muscle_Shoals 34.748611 -87.616111
1066 MSN Madison 43.141944 -89.336944
1067 MSO Missoula 46.915556 -114.0875
1068 MSP Minneapolis_St_Paul 44.886111 -93.217778
1069 MSS Massena 44.937778 -74.846667
1072 MSY New_Orleans 29.991111 -90.251389
1074 MTH Marathon 24.719444 -81.051389
1075 MTJ Montrose 38.500556 -107.894722
1090 MVY MarthaS_Vineyard 41.392778 -70.616667
1091 MWA Marion 37.751944 -89.016389
1092 MWH Moses_Lake 47.207778 -119.320278
1101 MYR Myrtle_Beach 33.679167 -78.929722
1161 OAJ Jacksonville 34.830278 -77.611667
1167 ODW Oak_Harbor 48.253333 -122.6725
1169 OFK Norfolk 41.984167 -97.434167
1172 OGS Ogdensburg 44.681667 -75.465833
1176 OKC Oklahoma_City 35.392222 -97.601667
1180 OLF Wolf_Point 48.094722 -105.566389
1182 OLM Olympia 46.973611 -122.903333
1185 OMA Omaha 41.301944 -95.893333
1200 ORD Chicago_ORD_MDW_PWK 41.978056 -87.906111
1201 ORF Norfolk_Va_Beach_Wmbg 36.895833 -76.201389
1202 ORH Worcester 42.269167 -71.874444
1210 OSH Oshkosh 43.983889 -88.556944
1214 OTH North_Bend 43.418889 -124.24
1216 OTS Anacortes 48.499167 -122.661111
1219 OWB Owensboro 37.740833 -87.165833
1222 OXR Oxnard 34.201111 -119.206389
1225 PAH Paducah 37.061111 -88.7725
1231 PBI West_Palm_Beach 26.682222 -80.094167
1239 PDT Pendleton 45.698333 -118.836111
1240 PDX Portland 45.589167 -122.595
1244 PFN Panama_City 30.2125 -85.681944
1245 PGA Page 36.926389 -111.447222
1250 PGV Greenville 35.633333 -77.385278
1251 PHF Newport_News_Williamsburg 37.131667 -76.493333
1252 PHL Philadelphia_Pa_WilmTon 39.868056 -75.248611
1255 PHX Phoenix 33.436111 -112.009444
1256 PIA Peoria 40.661389 -89.687222
1257 PIB Laurel_Hattiesburg 31.4675 -89.336667
1259 PIH Pocatello 42.913333 -112.594444
1263 PIR Pierre 44.383611 -100.284167
1264 PIT Pittsburgh 40.496667 -80.235833
1267 PKB Parkersburg 39.345556 -81.438889
1269 PLN Pellston 45.570833 -84.792778
1277 PNS Pensacola 30.4725 -87.188333
1289 PQI Presque_Isle 46.685 -68.0475
1292 PRC Prescott 34.65 -112.424167
1297 PSC Pasco 46.263889 -119.114722
1302 PSM Portsmouth 43.077778 -70.823333
1304 PSP Palm_Springs 33.826667 -116.505
1313 PUB Pueblo 38.292778 -104.496111
1318 PUW Pullman 46.744722 -117.105
1319 PVC Provincetown 42.071944 -70.221667
1320 PVD Providence 41.728333 -71.426111
1328 PWM Portland 43.644444 -70.303611
1339 RAP Rapid_City 44.045278 -103.056944
1347 RCE Roche_Harbor 48.612222 -123.138611
1350 RDD Redding 40.508333 -122.292222
1351 RDG Reading 40.378611 -75.963889
1352 RDM Redmond 44.254444 -121.151389
1353 RDU Raleigh_Durham 35.875278 -78.781944
1358 RHI Rhinelander 45.631389 -89.4575
1359 RIC Richmond_Wmbg 37.506111 -77.3225
1362 RIW Riverton 43.064444 -108.456944
1364 RKD Rockland 44.059167 -69.098056
1365 RKS Rock_Springs 41.596389 -109.065833
1372 RNO Reno 39.497778 -119.7675
1374 ROA Roanoke 37.324722 -79.976389
1376 ROC Rochester 43.121389 -77.670833
1382 ROW Roswell 33.299722 -104.53
1390 RST Rochester 43.910278 -92.496389
1391 RSW Fort_Myers 26.536111 -81.755
1395 RUT Rutland 43.529444 -72.948333
1401 SAF Santa_Fe 35.6175 -106.088333
1403 SAN San_Diego 32.733611 -117.186667
1405 SAT San_Antonio 29.533333 -98.469444
1406 SAV Savannah 32.126944 -81.199444
1408 SBA Santa_Barbara 34.427778 -119.839444
1411 SBN South_Bend 41.704444 -86.3125
1413 SBP San_Luis_Obispo 35.236667 -120.639167
1414 SBY Salisbury 38.338611 -75.51
1417 SCE State_College 40.770833 -77.881389
1420 SCK Stockton 37.894444 -121.239167
1426 SDF Louisville 38.179722 -85.738611
1432 SDY Sidney 47.706944 -104.191944
1433 SEA Seattle_SEA_BFI_KEH_LKE_RNT 47.447222 -122.305556
1435 SFB Sanford 28.775 -81.240278
1437 SFO San_Francisco_SFO_SJC_OAK 37.618889 -122.374167
1438 SGF Springfield 37.24 -93.385
1442 SGU St_George 37.093056 -113.592222
1445 SHD Shenandoah_Valley_Airport 38.263889 -78.896667
1449 SHR Sheridan 44.774167 -106.977222
1450 SHV Shreveport 32.446944 -93.828611
1461 SJT San_Angelo 31.359722 -100.494444
1470 SLC Salt_Lake_City 40.784167 -111.966944
1473 SLK Saranac_Lake 44.382778 -74.206667
1474 SLN Salina 38.790833 -97.6525
1480 SMF Sacramento 38.695556 -121.589722
1484 SMX Santa_Maria 34.905 -120.457778
1493 SOP Pinehurst 35.18 -79.575833
1497 SPI Springfield 39.844167 -89.678889
1500 SPS Wichita_Falls 33.988333 -98.491944
1504 SRQ Sarasota_Bradenton 27.393889 -82.554167
1512 STC Saint_Cloud 45.545278 -94.058333
1517 STL St_Louis 38.747778 -90.36
1524 SUN Sun_Valley 43.504167 -114.308333
1527 SUX Sioux_City 42.401944 -96.384167
1529 SVC Silver_City 32.631944 -108.153889
1540 SWF Newburgh 41.505833 -74.097222
1549 SYR Syracuse 43.110556 -76.1025
1563 TBN Ft_Leonard_Wood 37.741389 -92.140556
1576 TEX Telluride 37.953889 -107.908333
1596 TLH Tallahassee 30.399722 -84.351944
1611 TOL Toledo 41.590833 -83.800833
1613 TPA Tampa_St_Petersburg_TPA_PIE 27.973056 -82.535278
1617 TRI Tri_City_Airport 36.476111 -82.406389
1626 TTN Trenton 40.278056 -74.8125
1628 TUL Tulsa 36.197778 -95.889722
1629 TUP Tupelo 34.258889 -88.767222
1630 TUS Tucson 32.116111 -110.940556
1631 TVC Traverse_City 44.74 -85.585833
1632 TVF Thief_River_Falls 48.066111 -96.185
1635 TWD Port_Townsend 48.05 -122.8
1636 TWF Twin_Falls 42.481944 -114.486667
1641 TXK Texarkana 33.456389 -93.989167
1644 TYR Tyler 32.354722 -95.398889
1645 TYS Knoxville 35.812222 -83.9925
1655 UIN Quincy 39.944167 -91.197222
1681 VCT Victoria 28.851111 -96.914444
1685 VEL Vernal 40.438889 -109.510278
1691 VIS Visalia 36.319444 -119.393889
1696 VLD Valdosta 30.782222 -83.276944
1700 VPS Ft_Walton_Beach 30.486667 -86.526111
1723 WDG Enid 36.379167 -97.790833
1738 WRL Worland 43.9675 -107.953056
1748 WYS West_Yellowstone 44.686667 -111.104722
1752 XNA Fayetteville 36.281944 -94.306944
1788 YKM Yakima 46.566944 -120.537778
1795 YNG Youngstown 41.256111 -80.669722
1821 YUM Yuma 32.654167 -114.606944
